Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C51        CAPC3216N             5710mil   1879.172mil       5710mil   1879.172mil       5710mil   1936.258mil  T        270.00 Cap            
C50        CAPC3216N             5810mil   1879.172mil       5810mil   1879.172mil       5810mil   1936.258mil  T        270.00 Cap            
C49        CAPC3216N             6120mil   1834.172mil       6120mil   1834.172mil       6120mil   1891.258mil  T        270.00 Cap            
C48        CAPC3216N             6420mil   2174.172mil       6420mil   2174.172mil   6477.087mil   2174.172mil  T        180.00 Cap            
C47        CAPC3216N             6480mil   1994.172mil       6480mil   1994.172mil   6537.087mil   1994.172mil  T        180.00 Cap            
C46        CAPC3216N             5420mil   1954.172mil       5420mil   1954.172mil   5477.086mil   1954.172mil  T        180.00 Cap            
C1         CAPC3216N             4920mil   2554.172mil       4920mil   2554.172mil   4862.913mil   2554.172mil  T        360.00 Cap            
C2         CAPC3216N             4380mil   2514.172mil       4380mil   2514.172mil       4380mil   2457.085mil  T         90.00 Cap            
C3         CAPC3216N             4560mil   1334.172mil       4560mil   1334.172mil   4502.913mil   1334.172mil  T        360.00 Cap            
C4         CAPC3216N             4380mil   1654.172mil       4380mil   1654.172mil   4437.086mil   1654.172mil  T        180.00 Cap            
C5         CAPC3216N             4215mil   1344.172mil       4215mil   1344.172mil   4272.086mil   1344.172mil  T        180.00 Cap            
C6         CAPC3216N             4985mil   1784.172mil       4985mil   1784.172mil       4985mil   1727.086mil  T         90.00 Cap            
C7         CAPC3216N             4800mil   2234.172mil       4800mil   2234.172mil       4800mil   2177.086mil  T         90.00 Cap            
C8         CAPC3216N             4085mil   1834.172mil       4085mil   1834.172mil       4085mil   1777.085mil  T         90.00 Cap            
C9         CAPC3216N             4185mil   1834.172mil       4185mil   1834.172mil       4185mil   1777.085mil  T         90.00 Cap            
C10        CAPC3216N             3980mil   2029.172mil       3980mil   2029.172mil       3980mil   1972.086mil  T         90.00 Cap            
C11        CAPC3216N             3880mil   2029.172mil       3880mil   2029.172mil       3880mil   1972.086mil  T         90.00 Cap            
C12        CAPC3216N             4700mil   2234.172mil       4700mil   2234.172mil       4700mil   2177.086mil  T         90.00 Cap            
C13        CAPC3216N             4215mil   2034.172mil       4215mil   2034.172mil       4215mil   1977.086mil  T         90.00 Cap            
C14        CAPC3216N             4115mil   2034.172mil       4115mil   2034.172mil       4115mil   1977.086mil  T         90.00 Cap            
C15        CAPC3216N             3700mil   2034.172mil       3700mil   2034.172mil       3700mil   1977.086mil  T         90.00 Cap            
C16        CAPC3216N             7925mil   1454.172mil       7925mil   1454.172mil   7982.086mil   1454.172mil  T        180.00 Cap            
